National Dex Number,Pokemon Name,Pokemon Pic URL,Pokemon Types,Abilities,"Base Stats (HP, Atk, Def, SpA, SpD, Speed)"
#0252,Treecko,https://www.serebii.net/pokedex-sv/icon/new/252.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Unburden']","['40', '45', '35', '65', '55', '70']"
#0253,Grovyle,https://www.serebii.net/pokedex-sv/icon/new/253.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Unburden']","['50', '65', '45', '85', '65', '95']"
#0254,Sceptile,https://www.serebii.net/pokedex-sv/icon/new/254.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Unburden']","['70', '85', '65', '105', '85', '120']"
#0255,Torchic,https://www.serebii.net/pokedex-sv/icon/new/255.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Blaze', 'Speed Boost']","['45', '60', '40', '70', '50', '45']"
#0256,Combusken,https://www.serebii.net/pokedex-sv/icon/new/256.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Blaze', 'Speed Boost']","['60', '85', '60', '85', '60', '55']"
#0257,Blaziken,https://www.serebii.net/pokedex-sv/icon/new/257.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Blaze', 'Speed Boost']","['80', '120', '70', '110', '70', '80']"
#0258,Mudkip,https://www.serebii.net/pokedex-sv/icon/new/258.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Torrent', 'Damp']","['50', '70', '50', '50', '50', '40']"
#0259,Marshtomp,https://www.serebii.net/pokedex-sv/icon/new/259.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Torrent', 'Damp']","['70', '85', '70', '60', '70', '50']"
#0260,Swampert,https://www.serebii.net/pokedex-sv/icon/new/260.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Torrent', 'Damp']","['100', '110', '90', '85', '90', '60']"
#0261,Poochyena,https://www.serebii.net/pokedex-sv/icon/new/261.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],"['Run Away', 'Quick Feet', 'Rattled']","['35', '55', '35', '30', '30', '35']"
#0262,Mightyena,https://www.serebii.net/pokedex-sv/icon/new/262.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],"['Intimidate', 'Quick Feet', 'Moxie']","['70', '90', '70', '60', '60', '70']"
#0263,Zigzagoon,https://www.serebii.net/pokedex-sv/icon/new/263.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Pickup', 'Gluttony', 'Quick Feet']","['38', '30', '41', '30', '41', '60']"
#0264,Linoone,https://www.serebii.net/pokedex-sv/icon/new/264.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Pickup', 'Gluttony', 'Quick Feet']","['78', '70', '61', '50', '61', '100']"
#0265,Wurmple,https://www.serebii.net/pokedex-sv/icon/new/265.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Shield Dust', 'Run Away']","['45', '45', '35', '20', '30', '20']"
#0266,Silcoon,https://www.serebii.net/pokedex-sv/icon/new/266.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],['Shed Skin'],"['50', '35', '55', '25', '25', '15']"
#0267,Beautifly,https://www.serebii.net/pokedex-sv/icon/new/267.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Swarm', 'Rivalry']","['60', '70', '50', '100', '50', '65']"
#0268,Cascoon,https://www.serebii.net/pokedex-sv/icon/new/268.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],['Shed Skin'],"['50', '35', '55', '25', '25', '15']"
#0269,Dustox,https://www.serebii.net/pokedex-sv/icon/new/269.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Shield Dust', 'Compoundeyes']","['60', '50', '70', '50', '90', '65']"
#0270,Lotad,https://www.serebii.net/pokedex-sv/icon/new/270.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Swift Swim', 'Rain Dish', 'Own Tempo']","['40', '30', '30', '40', '50', '30']"
#0271,Lombre,https://www.serebii.net/pokedex-sv/icon/new/271.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Swift Swim', 'Rain Dish', 'Own Tempo']","['60', '50', '50', '60', '70', '50']"
#0272,Ludicolo,https://www.serebii.net/pokedex-sv/icon/new/272.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Swift Swim', 'Rain Dish', 'Own Tempo']","['80', '70', '70', '90', '100', '70']"
#0273,Seedot,https://www.serebii.net/pokedex-sv/icon/new/273.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Chlorophyll', 'Early Bird', 'Pickpocket']","['40', '40', '50', '30', '30', '30']"
#0274,Nuzleaf,https://www.serebii.net/pokedex-sv/icon/new/274.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Chlorophyll', 'Early Bird', 'Pickpocket']","['70', '70', '40', '60', '40', '60']"
#0275,Shiftry,https://www.serebii.net/pokedex-sv/icon/new/275.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Chlorophyll', 'Wind Rider', 'Pickpocket']","['90', '100', '60', '90', '60', '80']"
#0276,Taillow,https://www.serebii.net/pokedex-sv/icon/new/276.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Guts', 'Scrappy']","['40', '55', '30', '30', '30', '85']"
#0277,Swellow,https://www.serebii.net/pokedex-sv/icon/new/277.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Guts', 'Scrappy']","['60', '85', '60', '75', '50', '125']"
#0278,Wingull,https://www.serebii.net/pokedex-sv/icon/new/278.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Hydration', 'Rain Dish']","['40', '30', '30', '55', '30', '85']"
#0279,Pelipper,https://www.serebii.net/pokedex-sv/icon/new/279.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Drizzle', 'Rain Dish']","['60', '50', '100', '95', '70', '65']"
#0280,Ralts,https://www.serebii.net/pokedex-sv/icon/new/280.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Synchronize', 'Trace', 'Telepathy']","['28', '25', '25', '45', '35', '40']"
#0281,Kirlia,https://www.serebii.net/pokedex-sv/icon/new/281.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Synchronize', 'Trace', 'Telepathy']","['38', '35', '35', '65', '55', '50']"
#0282,Gardevoir,https://www.serebii.net/pokedex-sv/icon/new/282.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Synchronize', 'Trace', 'Telepathy']","['68', '65', '65', '125', '115', '80']"
#0283,Surskit,https://www.serebii.net/pokedex-sv/icon/new/283.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/water.gif']","['Swift Swim', 'Rain Dish']","['40', '30', '32', '50', '52', '65']"
#0284,Masquerain,https://www.serebii.net/pokedex-sv/icon/new/284.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Intimidate', 'Unnerve']","['70', '60', '62', '100', '82', '80']"
#0285,Shroomish,https://www.serebii.net/pokedex-sv/icon/new/285.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Effect Spore', 'Poison Heal', 'Quick Feet']","['60', '40', '60', '40', '60', '35']"
#0286,Breloom,https://www.serebii.net/pokedex-sv/icon/new/286.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Effect Spore', 'Poison Heal', 'Technician']","['60', '130', '80', '60', '60', '70']"
#0287,Slakoth,https://www.serebii.net/pokedex-sv/icon/new/287.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],['Truant'],"['60', '60', '60', '35', '35', '30']"
#0288,Vigoroth,https://www.serebii.net/pokedex-sv/icon/new/288.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],['Vital Spirit'],"['80', '80', '80', '55', '55', '90']"
#0289,Slaking,https://www.serebii.net/pokedex-sv/icon/new/289.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],['Truant'],"['150', '160', '100', '95', '65', '100']"
#0290,Nincada,https://www.serebii.net/pokedex-sv/icon/new/290.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Compoundeyes', 'Run Away']","['31', '45', '90', '30', '30', '40']"
#0291,Ninjask,https://www.serebii.net/pokedex-sv/icon/new/291.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Speed Boost', 'Infiltrator']","['61', '90', '45', '50', '50', '160']"
#0292,Shedinja,https://www.serebii.net/pokedex-sv/icon/new/292.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']",['Wonder Guard'],"['1', '90', '45', '30', '30', '40']"
#0293,Whismur,https://www.serebii.net/pokedex-sv/icon/new/293.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Soundproof', 'Rattled']","['64', '51', '23', '51', '23', '28']"
#0294,Loudred,https://www.serebii.net/pokedex-sv/icon/new/294.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Soundproof', 'Scrappy']","['84', '71', '43', '71', '43', '48']"
#0295,Exploud,https://www.serebii.net/pokedex-sv/icon/new/295.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Soundproof', 'Scrappy']","['104', '91', '63', '91', '73', '68']"
#0296,Makuhita,https://www.serebii.net/pokedex-sv/icon/new/296.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Thick Fat', 'Guts', 'Sheer Force']","['72', '60', '30', '20', '30', '25']"
#0297,Hariyama,https://www.serebii.net/pokedex-sv/icon/new/297.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Thick Fat', 'Guts', 'Sheer Force']","['144', '120', '60', '40', '60', '50']"
#0298,Azurill,https://www.serebii.net/pokedex-sv/icon/new/298.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Thick Fat', 'Huge Power', 'Sap Sipper']","['50', '20', '40', '20', '40', '20']"
#0299,Nosepass,https://www.serebii.net/pokedex-sv/icon/new/299.png,['https://www.serebii.net/pokedex-bw/type/rock.gif'],"['Sturdy', 'Magnet Pull', 'Sand Force']","['30', '45', '135', '45', '90', '30']"
#0300,Skitty,https://www.serebii.net/pokedex-sv/icon/new/300.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Cute Charm', 'Normalize', 'Wonder Skin']","['50', '45', '45', '35', '35', '50']"
#0301,Delcatty,https://www.serebii.net/pokedex-sv/icon/new/301.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Cute Charm', 'Normalize', 'Wonder Skin']","['70', '65', '65', '55', '55', '90']"
#0302,Sableye,https://www.serebii.net/pokedex-sv/icon/new/302.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Keen Eye', 'Stall', 'Prankster']","['50', '75', '75', '65', '65', '50']"
#0303,Mawile,https://www.serebii.net/pokedex-sv/icon/new/303.png,"['https://www.serebii.net/pokedex-bw/type/steel.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Hyper Cutter', 'Intimidate', 'Sheer Force']","['50', '85', '85', '55', '55', '50']"
#0304,Aron,https://www.serebii.net/pokedex-sv/icon/new/304.png,"['https://www.serebii.net/pokedex-bw/type/steel.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Sturdy', 'Rock Head', 'Heavy Metal']","['50', '70', '100', '40', '40', '30']"
#0305,Lairon,https://www.serebii.net/pokedex-sv/icon/new/305.png,"['https://www.serebii.net/pokedex-bw/type/steel.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Sturdy', 'Rock Head', 'Heavy Metal']","['60', '90', '140', '50', '50', '40']"
#0306,Aggron,https://www.serebii.net/pokedex-sv/icon/new/306.png,"['https://www.serebii.net/pokedex-bw/type/steel.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Sturdy', 'Rock Head', 'Heavy Metal']","['70', '110', '180', '60', '60', '50']"
#0307,Meditite,https://www.serebii.net/pokedex-sv/icon/new/307.png,"['https://www.serebii.net/pokedex-bw/type/fighting.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Pure Power', 'Telepathy']","['30', '40', '55', '40', '55', '60']"
#0308,Medicham,https://www.serebii.net/pokedex-sv/icon/new/308.png,"['https://www.serebii.net/pokedex-bw/type/fighting.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Pure Power', 'Telepathy']","['60', '60', '75', '60', '75', '80']"
#0309,Electrike,https://www.serebii.net/pokedex-sv/icon/new/309.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Static', 'Lightning Rod', 'Minus']","['40', '45', '40', '65', '40', '65']"
#0310,Manectric,https://www.serebii.net/pokedex-sv/icon/new/310.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Static', 'Lightning Rod', 'Minus']","['70', '75', '60', '105', '60', '105']"
#0311,Plusle,https://www.serebii.net/pokedex-sv/icon/new/311.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Plus', 'Lightning Rod']","['60', '50', '40', '85', '75', '95']"
#0312,Minun,https://www.serebii.net/pokedex-sv/icon/new/312.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Minus', 'Volt Absorb']","['60', '40', '50', '75', '85', '95']"
#0313,Volbeat,https://www.serebii.net/pokedex-sv/icon/new/313.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Illuminate', 'Swarm', 'Prankster']","['65', '73', '75', '47', '85', '85']"
#0314,Illumise,https://www.serebii.net/pokedex-sv/icon/new/314.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Oblivious', 'Tinted Lens', 'Prankster']","['65', '47', '75', '73', '85', '85']"
#0315,Roselia,https://www.serebii.net/pokedex-sv/icon/new/315.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Natural Cure', 'Poison Point', 'Leaf Guard']","['50', '60', '45', '100', '80', '65']"
#0316,Gulpin,https://www.serebii.net/pokedex-sv/icon/new/316.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']","['70', '43', '53', '43', '53', '40']"
#0317,Swalot,https://www.serebii.net/pokedex-sv/icon/new/317.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']","['100', '73', '83', '73', '83', '55']"
#0318,Carvanha,https://www.serebii.net/pokedex-sv/icon/new/318.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Rough Skin', 'Speed Boost']","['45', '90', '20', '65', '20', '65']"
#0319,Sharpedo,https://www.serebii.net/pokedex-sv/icon/new/319.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Rough Skin', 'Speed Boost']","['70', '120', '40', '95', '40', '95']"
#0320,Wailmer,https://www.serebii.net/pokedex-sv/icon/new/320.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Water Veil', 'Oblivious', 'Pressure']","['130', '70', '35', '70', '35', '60']"
#0321,Wailord,https://www.serebii.net/pokedex-sv/icon/new/321.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Water Veil', 'Oblivious', 'Pressure']","['170', '90', '45', '90', '45', '60']"
#0322,Numel,https://www.serebii.net/pokedex-sv/icon/new/322.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Oblivious', 'Simple', 'Own Tempo']","['60', '60', '40', '65', '45', '35']"
#0323,Camerupt,https://www.serebii.net/pokedex-sv/icon/new/323.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Magma Armor', 'Solid Rock', 'Anger Point']","['70', '100', '70', '105', '75', '40']"
#0324,Torkoal,https://www.serebii.net/pokedex-sv/icon/new/324.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['White Smoke', 'Drought', 'Shell Armor']","['70', '85', '140', '85', '70', '20']"
#0325,Spoink,https://www.serebii.net/pokedex-sv/icon/new/325.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Thick Fat', 'Own Tempo', 'Gluttony']","['60', '25', '35', '70', '80', '60']"
#0326,Grumpig,https://www.serebii.net/pokedex-sv/icon/new/326.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Thick Fat', 'Own Tempo', 'Gluttony']","['80', '45', '65', '90', '110', '80']"
#0327,Spinda,https://www.serebii.net/pokedex-sv/icon/new/327.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Own Tempo', 'Tangled Feet', 'Contrary']","['60', '60', '60', '60', '60', '60']"
#0328,Trapinch,https://www.serebii.net/pokedex-sv/icon/new/328.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Hyper Cutter', 'Arena Trap', 'Sheer Force']","['45', '100', '45', '45', '45', '10']"
#0329,Vibrava,https://www.serebii.net/pokedex-sv/icon/new/329.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']",['Levitate'],"['50', '70', '50', '50', '50', '70']"
#0330,Flygon,https://www.serebii.net/pokedex-sv/icon/new/330.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']",['Levitate'],"['80', '100', '80', '80', '80', '100']"
#0331,Cacnea,https://www.serebii.net/pokedex-sv/icon/new/331.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Sand Veil', 'Water Absorb']","['50', '85', '40', '85', '40', '35']"
#0332,Cacturne,https://www.serebii.net/pokedex-sv/icon/new/332.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Sand Veil', 'Water Absorb']","['70', '115', '60', '115', '60', '55']"
#0333,Swablu,https://www.serebii.net/pokedex-sv/icon/new/333.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Natural Cure', 'Cloud Nine']","['45', '40', '60', '40', '75', '50']"
#0334,Altaria,https://www.serebii.net/pokedex-sv/icon/new/334.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Natural Cure', 'Cloud Nine']","['75', '70', '90', '70', '105', '80']"
#0335,Zangoose,https://www.serebii.net/pokedex-sv/icon/new/335.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Immunity', 'Toxic Boost']","['73', '115', '60', '60', '60', '90']"
#0336,Seviper,https://www.serebii.net/pokedex-sv/icon/new/336.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Shed Skin', 'Infiltrator']","['73', '100', '60', '100', '60', '65']"
#0337,Lunatone,https://www.serebii.net/pokedex-sv/icon/new/337.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']",['Levitate'],"['90', '55', '65', '95', '85', '70']"
#0338,Solrock,https://www.serebii.net/pokedex-sv/icon/new/338.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']",['Levitate'],"['90', '95', '85', '55', '65', '70']"
#0339,Barboach,https://www.serebii.net/pokedex-sv/icon/new/339.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Oblivious', 'Anticipation', 'Hydration']","['50', '48', '43', '46', '41', '60']"
#0340,Whiscash,https://www.serebii.net/pokedex-sv/icon/new/340.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Oblivious', 'Anticipation', 'Hydration']","['110', '78', '73', '76', '71', '60']"
#0341,Corphish,https://www.serebii.net/pokedex-sv/icon/new/341.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Hyper Cutter', 'Shell Armor', 'Adaptability']","['43', '80', '65', '50', '35', '35']"
#0342,Crawdaunt,https://www.serebii.net/pokedex-sv/icon/new/342.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Hyper Cutter', 'Shell Armor', 'Adaptability']","['63', '120', '85', '90', '55', '55']"
#0343,Baltoy,https://www.serebii.net/pokedex-sv/icon/new/343.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']",['Levitate'],"['40', '40', '55', '40', '70', '55']"
#0344,Claydol,https://www.serebii.net/pokedex-sv/icon/new/344.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']",['Levitate'],"['60', '70', '105', '70', '120', '75']"
#0345,Lileep,https://www.serebii.net/pokedex-sv/icon/new/345.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Suction Cups', 'Storm Drain']","['66', '41', '77', '61', '87', '23']"
#0346,Cradily,https://www.serebii.net/pokedex-sv/icon/new/346.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Suction Cups', 'Storm Drain']","['86', '81', '97', '81', '107', '43']"
#0347,Anorith,https://www.serebii.net/pokedex-sv/icon/new/347.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/bug.gif']","['Battle Armor', 'Swift Swim']","['45', '95', '50', '40', '50', '75']"
#0348,Armaldo,https://www.serebii.net/pokedex-sv/icon/new/348.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/bug.gif']","['Battle Armor', 'Swift Swim']","['75', '125', '100', '70', '80', '45']"
#0349,Feebas,https://www.serebii.net/pokedex-sv/icon/new/349.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Swift Swim', 'Oblivious', 'Adaptability']","['20', '15', '20', '10', '55', '80']"
#0350,Milotic,https://www.serebii.net/pokedex-sv/icon/new/350.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Marvel Scale', 'Competitive', 'Cute Charm']","['95', '60', '79', '100', '125', '81']"
#0351,Castform,https://www.serebii.net/pokedex-sv/icon/new/351.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],['Forecast'],"['70', '70', '70', '70', '70', '70']"
#0352,Kecleon,https://www.serebii.net/pokedex-sv/icon/new/352.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Color Change', 'Protean']","['60', '90', '70', '60', '120', '40']"
#0353,Shuppet,https://www.serebii.net/pokedex-sv/icon/new/353.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Insomnia', 'Frisk', 'Cursed Body']","['44', '75', '35', '63', '33', '45']"
#0354,Banette,https://www.serebii.net/pokedex-sv/icon/new/354.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Insomnia', 'Frisk', 'Cursed Body']","['64', '115', '65', '83', '63', '65']"
#0355,Duskull,https://www.serebii.net/pokedex-sv/icon/new/355.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Levitate', 'Frisk']","['20', '40', '90', '30', '90', '25']"
#0356,Dusclops,https://www.serebii.net/pokedex-sv/icon/new/356.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],"['Pressure', 'Frisk']","['40', '70', '130', '60', '130', '25']"
#0357,Tropius,https://www.serebii.net/pokedex-sv/icon/new/357.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Chlorophyll', 'Solar Power', 'Harvest']","['99', '68', '83', '72', '87', '51']"
#0358,Chimecho,https://www.serebii.net/pokedex-sv/icon/new/358.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],['Levitate'],"['75', '50', '80', '95', '90', '65']"
#0359,Absol,https://www.serebii.net/pokedex-sv/icon/new/359.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],"['Pressure', 'Super Luck', 'Justified']","['65', '130', '60', '75', '60', '75']"
#0360,Wynaut,https://www.serebii.net/pokedex-sv/icon/new/360.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Shadow Tag', 'Telepathy']","['95', '23', '48', '23', '48', '23']"
#0361,Snorunt,https://www.serebii.net/pokedex-sv/icon/new/361.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Inner Focus', 'Ice Body', 'Moody']","['50', '50', '50', '50', '50', '50']"
#0362,Glalie,https://www.serebii.net/pokedex-sv/icon/new/362.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Inner Focus', 'Ice Body', 'Moody']","['80', '80', '80', '80', '80', '80']"
#0363,Spheal,https://www.serebii.net/pokedex-sv/icon/new/363.png,"['https://www.serebii.net/pokedex-bw/type/ice.gif', 'https://www.serebii.net/pokedex-bw/type/water.gif']","['Thick Fat', 'Ice Body', 'Oblivious']","['70', '40', '50', '55', '50', '25']"
#0364,Sealeo,https://www.serebii.net/pokedex-sv/icon/new/364.png,"['https://www.serebii.net/pokedex-bw/type/ice.gif', 'https://www.serebii.net/pokedex-bw/type/water.gif']","['Thick Fat', 'Ice Body', 'Oblivious']","['90', '60', '70', '75', '70', '45']"
#0365,Walrein,https://www.serebii.net/pokedex-sv/icon/new/365.png,"['https://www.serebii.net/pokedex-bw/type/ice.gif', 'https://www.serebii.net/pokedex-bw/type/water.gif']","['Thick Fat', 'Ice Body', 'Oblivious']","['110', '80', '90', '95', '90', '65']"
#0366,Clamperl,https://www.serebii.net/pokedex-sv/icon/new/366.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Shell Armor', 'Rattled']","['35', '64', '85', '74', '55', '32']"
#0367,Huntail,https://www.serebii.net/pokedex-sv/icon/new/367.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Swift Swim', 'Water Veil']","['55', '104', '105', '94', '75', '52']"
#0368,Gorebyss,https://www.serebii.net/pokedex-sv/icon/new/368.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Swift Swim', 'Hydration']","['55', '84', '105', '114', '75', '52']"
